event_id,symbol,company_name,cik,drug_or_asset,indication,event_type,event_date,event_date_precision,discovery_source,discovery_url,pre_event_proof_url,pre_event_proof_published_date,pit_proof_status,outcome_status,outcome_date,outcome_source_url,negative_retention_flag,delisted_or_acquired_status,date_aware_symbol_mapping_status,admissibility_label,rejection_reason,notes
HYB-PDUFA-011,DNLI,Denali Therapeutics,,tividenofusp alfa,Hunter syndrome MPS II,PDUFA,2026-01-05,exact,prior_panel,https://www.globenewswire.com/news-release/2025/07/07/3110980/0/en/denali-therapeutics-announces-fda-acceptance-and-priority-review-of-biologics-license-application-bla-for-tividenofusp-alfa-for-hunter-syndrome-mps-ii.html,https://www.globenewswire.com/news-release/2025/07/07/3110980/0/en/denali-therapeutics-announces-fda-acceptance-and-priority-review-of-biologics-license-application-bla-for-tividenofusp-alfa-for-hunter-syndrome-mps-ii.html,2025-07-07,pass,unknown,,,false,active,pass,admissible_event,,Carried from initial panel.
HYB-PDUFA-012,AQST,Aquestive Therapeutics,,Anaphylm,Severe allergic reactions anaphylaxis,PDUFA,2026-01-31,exact,prior_panel,https://www.globenewswire.com/news-release/2025/06/16/3099704/0/en/Aquestive-Therapeutics-Announces-FDA-Acceptance-of-New-Drug-Application-and-PDUFA-Date-for-Anaphylm-for-the-Treatment-of-Severe-Allergic-Reactions.html,https://www.globenewswire.com/news-release/2025/06/16/3099704/0/en/Aquestive-Therapeutics-Announces-FDA-Acceptance-of-New-Drug-Application-and-PDUFA-Date-for-Anaphylm-for-the-Treatment-of-Severe-Allergic-Reactions.html,2025-06-16,pass,unknown,,,false,active,pass,admissible_event,,No-AdCom update observed.
EXP-PDUFA-013,PTCT,PTC Therapeutics,,vatiquinone,Friedreich ataxia,PDUFA_CRL,2025-08-19,exact,manual_search,https://www.nasdaq.com/press-release/ptc-therapeutics-announces-fda-acceptance-and-priority-review-vatiquinone-nda,https://www.nasdaq.com/press-release/ptc-therapeutics-announces-fda-acceptance-and-priority-review-vatiquinone-nda,2025-02-19,pass,CRL,2025-08-19,https://ir.ptcbio.com/node/17956/pdf,true,active,pass,admissible_event,,CRL source retained.
EXP-PDUFA-014,CING,Cingulate,,CTx-1301,ADHD,PDUFA,2026-05-31,exact,manual_search,https://www.globenewswire.com/news-release/2025/10/14/3166151/0/en/FDA-Accepts-Cingulate-s-New-Drug-Application-for-CTx-1301-in-Attention-Deficit-Hyperactivity-Disorder-ADHD-and-sets-a-May-31-2026-PDUFA-Date.html,https://www.globenewswire.com/news-release/2025/10/14/3166151/0/en/FDA-Accepts-Cingulate-s-New-Drug-Application-for-CTx-1301-in-Attention-Deficit-Hyperactivity-Disorder-ADHD-and-sets-a-May-31-2026-PDUFA-Date.html,2025-10-14,pass,unresolved,,,true,active,pass,admissible_event,,Future/unresolved event.
EXP-PDUFA-015,TLX.AX,Telix Pharmaceuticals,,TLX250-CDx Zircaix,Kidney cancer imaging,PDUFA,2025-08-27,exact,manual_search,https://markets.chroniclejournal.com/chroniclejournal/article/gnwcq-2025-2-25-fda-accepts-bla-for-tlx250-cdx-zircaix-for-kidney-cancer-imaging-grants-priority-review,https://markets.chroniclejournal.com/chroniclejournal/article/gnwcq-2025-2-25-fda-accepts-bla-for-tlx250-cdx-zircaix-for-kidney-cancer-imaging-grants-priority-review,2025-02-25,pass,unknown,,,false,active,partial,admissible_event,,Non-US primary listing creates mapping complication.
EXP-PDUFA-016,RARE,Ultragenyx Pharmaceutical,,UX111,Sanfilippo syndrome type A,PDUFA,2025-08-18,exact,manual_search,https://www.cgtlive.com/view/fda-accepts-bla-ultragenyx-mpsiiia-gene-therapy-ux111-priority-review,https://www.cgtlive.com/view/fda-accepts-bla-ultragenyx-mpsiiia-gene-therapy-ux111-priority-review,2025-02-19,pass,unknown,,,false,active,pass,admissible_event,,Pre-event PDUFA proof from report pointing to issuer release.
EXP-PDUFA-017,ATRA,Atara Biotherapeutics,,tabelecleucel,EBV positive PTLD,PDUFA_CRL,2025-01-15,exact,manual_search,https://investors.atarabio.com/news-events/press-releases/detail/356/atara-biotherapeutics-announces-u-s-fda-acceptance-and,https://investors.atarabio.com/news-events/press-releases/detail/356/atara-biotherapeutics-announces-u-s-fda-acceptance-and,2024-07-16,pass,CRL,2025-01-15,https://investors.atarabio.com/news-events/press-releases/detail/380/atara-biotherapeutics-provides-regulatory-and-business,true,renamed,partial,admissible_event,,Later Pierre Fabre involvement creates sponsor mapping complication.
EXP-PDUFA-018,KRTX,Karuna Therapeutics,,KarXT,Schizophrenia,PDUFA,2024-09-26,exact,manual_search,https://www.businesswire.com/news/home/20231129469347/en/PureTech-Founded-Entity-Karuna-Therapeutics-Announces-U.S.-Food-and-Drug-Administration-Accepts-New-Drug-Application-for-KarXT-for-the-Treatment-of-Schizophrenia,https://www.businesswire.com/news/home/20231129469347/en/PureTech-Founded-Entity-Karuna-Therapeutics-Announces-U.S.-Food-and-Drug-Administration-Accepts-New-Drug-Application-for-KarXT-for-the-Treatment-of-Schizophrenia,2023-11-29,pass,approved,2024-09-26,https://www.businesswire.com/news/home/20240926362230/en/Bristol-Myers-Squibb-Receives-U.S.-FDA-Approval-of-COBENFY-xanomeline-and-trospium-chloride,false,acquired,partial,admissible_event,,Karuna was acquired before final decision creating symbol history issue.
EXP-PDUFA-019,DCPH,Deciphera Pharmaceuticals,,vimseltinib,TGCT,PDUFA,2025-02-17,exact,manual_search,https://www.businesswire.com/news/home/20240815607407/en/U.S.-Food-and-Drug-Administration-Accepts-for-Priority-Review-Decipheras-New-Drug-Application-for-Vimseltinib-for-the-Treatment-of-Patients-with-Tenosynovial-Giant-Cell-Tumor-TGCT,https://www.businesswire.com/news/home/20240815607407/en/U.S.-Food-and-Drug-Administration-Accepts-for-Priority-Review-Decipheras-New-Drug-Application-for-Vimseltinib-for-the-Treatment-of-Patients-with-Tenosynovial-Giant-Cell-Tumor-TGCT,2024-08-15,pass,approved,2025-02-14,https://www.deciphera.com/news/us-fda-grants-full-approval-decipheras-romvimzatm-vimseltinib-treatment-symptomatic,false,acquired,partial,admissible_event,,Deciphera was acquired by Ono after acceptance period.
EXP-PDUFA-020,OTLK,Outlook Therapeutics,,ONS-5010,wet AMD,PDUFA_CRL,2025-12-31,exact,manual_search,https://ir.outlooktherapeutics.com/news-releases/news-release-details/outlook-therapeutics-announces-acceptance-biologics-license/,https://ir.outlooktherapeutics.com/news-releases/news-release-details/outlook-therapeutics-announces-acceptance-biologics-license/,2025-11-13,pass,CRL,2025-12-31,https://oncobiologics.gcs-web.com/news-releases/news-release-details/outlook-therapeutics-provides-regulatory-update-us-food-and-0,true,active,pass,admissible_event,,CRL retained.
EXP-PDUFA-021,UNCY,Unicycive Therapeutics,,Oxylanthanum Carbonate,Hyperphosphatemia in CKD on dialysis,PDUFA_CRL,2025-06-28,exact,manual_search,https://www.sec.gov/Archives/edgar/data/1766140/000121390024096104/ea022062101ex99-1_unicycive.htm,https://www.sec.gov/Archives/edgar/data/1766140/000121390024096104/ea022062101ex99-1_unicycive.htm,2024-11-13,pass,CRL,2025-06-30,https://www.globenewswire.com/news-release/2025/6/30/3107365/0/en/Unicycive-Therapeutics-Announces-Receipt-of-Complete-Response-Letter-for-Oxylanthanum-Carbonate-for-the-Treatment-of-Hyperphosphatemia-in-Patients-with-Chronic-Kidney-Disease-on-Di.html,true,active,pass,admissible_event,,Initial CRL retained.
EXP-PDUFA-022,UNCY,Unicycive Therapeutics,,Oxylanthanum Carbonate,Hyperphosphatemia in CKD on dialysis,PDUFA,2026-06-29,exact,manual_search,https://www.globenewswire.com/news-release/2026/01/29/3228698/0/en/update-unicycive-therapeutics-announces-fda-acceptance-of-oxylanthanum-carbonate-olc-new-drug-application-nda-resubmission.html,https://www.globenewswire.com/news-release/2026/01/29/3228698/0/en/update-unicycive-therapeutics-announces-fda-acceptance-of-oxylanthanum-carbonate-olc-new-drug-application-nda-resubmission.html,2026-01-29,pass,unresolved,,,true,active,pass,admissible_event,,Resubmission after CRL.
EXP-PDUFA-023,ORCA-PRIVATE,Orca Bio,,Orca-T,Hematological malignancies,PDUFA,2026-04-06,exact,manual_search,https://www.businesswire.com/news/home/20251006596453/en/Orca-Bio-Announces-FDA-Acceptance-and-Priority-Review-of-the-Biologics-License-Application-BLA-for-Orca-T-to-Treat-Hematological-Malignancies,https://www.businesswire.com/news/home/20251006596453/en/Orca-Bio-Announces-FDA-Acceptance-and-Priority-Review-of-the-Biologics-License-Application-BLA-for-Orca-T-to-Treat-Hematological-Malignancies,2025-10-06,pass,unresolved,,,true,unknown,partial,admissible_event,,Private company has no ordinary public equity symbol.
EXP-PDUFA-024,VRDN,Viridian Therapeutics,,veligrotug,Thyroid eye disease,PDUFA,2026-06-30,exact,manual_search,https://s203.q4cdn.com/807813999/files/doc_news/Viridian-Therapeutics-Announces-BLA-Acceptance-and-Priority-Review-for-Veligrotug-for-the-Treatment-of-Thyroid-Eye-Disease-2025.pdf,https://s203.q4cdn.com/807813999/files/doc_news/Viridian-Therapeutics-Announces-BLA-Acceptance-and-Priority-Review-for-Veligrotug-for-the-Treatment-of-Thyroid-Eye-Disease-2025.pdf,2025-12-22,pass,unresolved,,,true,active,pass,admissible_event,,Future/unresolved event.
EXP-PDUFA-025,VERA,Vera Therapeutics,,atacicept,IgA nephropathy,PDUFA,2026-07-07,exact,manual_search,https://www.nasdaq.com/press-release/vera-therapeutics-announces-us-fda-granted-priority-review-biologics-license,https://www.nasdaq.com/press-release/vera-therapeutics-announces-us-fda-granted-priority-review-biologics-license,2026-01-27,pass,unresolved,,,true,active,pass,admissible_event,,Future/unresolved event.
EXP-PDUFA-026,SVRA,Savara,,MOLBREEVI,Autoimmune pulmonary alveolar proteinosis,PDUFA_DELAY,2026-08-22,exact,manual_search,https://www.nasdaq.com/press-release/savara-announces-us-food-and-drug-administration-fda-filed-molbreevi-biologics,https://www.nasdaq.com/press-release/savara-announces-us-food-and-drug-administration-fda-filed-molbreevi-biologics,2026-02-24,pass,delayed,2026-05-01,https://s205.q4cdn.com/999407632/files/doc_news/Savara-Announces-the-U-S--Food--Drug-Administration-FDA-Has-Extended-the-Review-Period-for-the-Molgramostim-Inhalation-Solution-Molgr-HR78W.pdf,true,active,pass,admissible_event,,PDUFA extension retained.
EXP-PDUFA-027,ASND,Ascendis Pharma,,TransCon CNP,Achondroplasia,PDUFA_DELAY,2026-02-28,exact,manual_search,https://ptacts.uspto.gov/ptacts/public-informations/petitions/1558718/download-documents?artifactId=47emQk0JCv9mrV7m4EwJ4axizcWoN7Has48V15BRwZtBX9AILNFNBUE,https://ptacts.uspto.gov/ptacts/public-informations/petitions/1558718/download-documents?artifactId=47emQk0JCv9mrV7m4EwJ4axizcWoN7Has48V15BRwZtBX9AILNFNBUE,2025-11-25,pass,delayed,2025-11-25,https://ptacts.uspto.gov/ptacts/public-informations/petitions/1558718/download-documents?artifactId=47emQk0JCv9mrV7m4EwJ4axizcWoN7Has48V15BRwZtBX9AILNFNBUE,true,active,pass,admissible_event,,Extension source used as proof.
EXP-PDUFA-028,IONS,Ionis Pharmaceuticals,,zilganersen,Alexander disease,PDUFA,2026-09-22,exact,manual_search,https://www.nasdaq.com/press-release/ionis-announces-zilganersen-new-drug-application-alexander-disease-axd-accepted-fda,https://www.nasdaq.com/press-release/ionis-announces-zilganersen-new-drug-application-alexander-disease-axd-accepted-fda,2026-03-24,pass,unresolved,,,true,active,pass,admissible_event,,Future/unresolved event.
EXP-PDUFA-029,BBIO,BridgeBio Pharma,,BBP-418,LGMD2I/R9,PDUFA,2026-11-27,exact,manual_search,https://www.nasdaq.com/press-release/bridgebio-announces-fda-acceptance-and-priority-review-nda-bbp-418-lgmd2i-r9-2026-05,https://www.nasdaq.com/press-release/bridgebio-announces-fda-acceptance-and-priority-review-nda-bbp-418-lgmd2i-r9-2026-05,2026-05-27,pass,unresolved,,,true,active,pass,admissible_event,,Future/unresolved event.
EXP-PDUFA-030,COGT,Cogent Biosciences,,bezuclastinib,GIST,PDUFA,2026-11-30,exact,manual_search,https://investors.cogentbio.com/news-releases/news-release-details/cogent-biosciences-announces-fda-acceptance-new-drug-0,https://investors.cogentbio.com/news-releases/news-release-details/cogent-biosciences-announces-fda-acceptance-new-drug-0,2026-05-28,pass,unresolved,,,true,active,pass,admissible_event,,Future/unresolved event.
EXP-PDUFA-031,VRTX,Vertex Pharmaceuticals,,povetacicept,IgA nephropathy,PDUFA,2026-11-30,exact,manual_search,https://investors.vrtx.com/news-releases/news-release-details/vertex-announces-us-fda-acceptance-biologics-license-application,https://investors.vrtx.com/news-releases/news-release-details/vertex-announces-us-fda-acceptance-biologics-license-application,2026-06-01,pass,unresolved,,,true,acquired,partial,admissible_event,,Asset entered Vertex via Alpine acquisition context.
EXP-PDUFA-032,RARE,Ultragenyx Pharmaceutical,,DTX401,Glycogen storage disease type Ia,PDUFA,2026-08-23,exact,manual_search,https://ir.ultragenyx.com/node/18466/pdf,https://ir.ultragenyx.com/node/18466/pdf,2026-02-23,pass,unresolved,,,true,active,pass,admissible_event,,Future/unresolved event.
EXP-PDUFA-033,SAVA,Cassava Sciences,,simufilam,Alzheimer disease,trial_readout,2024-11-25,exact,manual_search,https://www.cassavasciences.com/news-releases/news-release-details/cassava-sciences-announces-topline-results-phase-3-rethink-alz,https://www.cassavasciences.com/news-releases/news-release-details/cassava-sciences-announces-topline-results-phase-3-rethink-alz,2024-11-25,partial,failed,2024-11-25,https://www.cassavasciences.com/news-releases/news-release-details/cassava-sciences-announces-topline-results-phase-3-rethink-alz,true,active,pass,exploratory_only,,Trial readout has no pre-event proof in this row so excluded from admissible PDUFA set.
EXP-PDUFA-034,MNKD,MannKind,,FUROSCIX ReadyFlow,Edema in chronic heart failure or CKD,PDUFA,2026-07-26,exact,manual_search,https://www.chartmill.com/news/MNKD/globenews-2025-12-1-mannkind-announces-us-fda-accepts-for-review-its-supplemental-new-drug-application-snda-of-furoscix-readyflow-autoinjector-for-the-treatment-of-edema-in-adults-with-chronic-heart-failure-or-chronic-kidney-disease,https://www.chartmill.com/news/MNKD/globenews-2025-12-1-mannkind-announces-us-fda-accepts-for-review-its-supplemental-new-drug-application-snda-of-furoscix-readyflow-autoinjector-for-the-treatment-of-edema-in-adults-with-chronic-heart-failure-or-chronic-kidney-disease,2025-12-01,pass,unresolved,,,true,active,pass,admissible_event,,Future/unresolved event.
